date,year,month,month_name,state,zone,pms_price_ngn
2025-03-01,2025,3,March,Rivers,South South,1175.54
2025-04-01,2025,4,April,Rivers,South South,1263.98
2025-05-01,2025,5,May,Rivers,South South,981.67
2025-06-01,2025,6,June,Rivers,South South,994.32
2025-07-01,2025,7,July,Rivers,South South,994.32
2025-08-01,2025,8,August,Rivers,South South,975.3
2025-09-01,2025,9,September,Rivers,South South,980.35
2025-10-01,2025,10,October,Rivers,South South,1053.72
2025-11-01,2025,11,November,Rivers,South South,1065.43
2025-12-01,2025,12,December,Rivers,South South,1062.25
2026-01-01,2026,1,January,Rivers,South South,1160.92
2026-02-01,2026,2,February,Rivers,South South,1030.74
2026-03-01,2026,3,March,Rivers,South South,1247.84
2026-04-01,2026,4,April,Rivers,South South,1579.41
2024-11-01,2024,11,November,Sokoto,North West,1162.86
2024-12-01,2024,12,December,Sokoto,North West,1113.33
2025-01-01,2025,1,January,Sokoto,North West,1330.0
2025-02-01,2025,2,February,Sokoto,North West,1680.0
2025-03-01,2025,3,March,Sokoto,North West,1550.0
2025-04-01,2025,4,April,Sokoto,North West,1550.0
2025-05-01,2025,5,May,Sokoto,North West,1100.0
2025-06-01,2025,6,June,Sokoto,North West,1100.0
2025-07-01,2025,7,July,Sokoto,North West,1100.0
2025-08-01,2025,8,August,Sokoto,North West,1032.68
2025-09-01,2025,9,September,Sokoto,North West,1023.39
2025-10-01,2025,10,October,Sokoto,North West,1105.93
2025-11-01,2025,11,November,Sokoto,North West,1118.83
2025-12-01,2025,12,December,Sokoto,North West,1035.47
2026-01-01,2026,1,January,Sokoto,North West,1019.31
2026-02-01,2026,2,February,Sokoto,North West,1116.81
2026-03-01,2026,3,March,Sokoto,North West,1377.55
2026-04-01,2026,4,April,Sokoto,North West,1404.16
2024-11-01,2024,11,November,Taraba,North East,1256.36
2024-12-01,2024,12,December,Taraba,North East,1307.05
2025-01-01,2025,1,January,Taraba,North East,1433.33
2025-02-01,2025,2,February,Taraba,North East,1366.67
2025-03-01,2025,3,March,Taraba,North East,1353.95
2025-04-01,2025,4,April,Taraba,North East,1256.39
2025-05-01,2025,5,May,Taraba,North East,983.0
2025-06-01,2025,6,June,Taraba,North East,1006.6
2025-07-01,2025,7,July,Taraba,North East,1036.6
2025-08-01,2025,8,August,Taraba,North East,953.4
2025-09-01,2025,9,September,Taraba,North East,934.02
2025-10-01,2025,10,October,Taraba,North East,1072.15
2025-11-01,2025,11,November,Taraba,North East,1079.18
2025-12-01,2025,12,December,Taraba,North East,1080.06
2026-01-01,2026,1,January,Taraba,North East,1048.41
2026-02-01,2026,2,February,Taraba,North East,1055.49
2026-03-01,2026,3,March,Taraba,North East,1305.74
2026-04-01,2026,4,April,Taraba,North East,1581.31
2024-11-01,2024,11,November,Yobe,North East,1222.73
2024-12-01,2024,12,December,Yobe,North East,1225.0
2025-01-01,2025,1,January,Yobe,North East,1112.5
2025-02-01,2025,2,February,Yobe,North East,1075.0
2025-03-01,2025,3,March,Yobe,North East,1114.11
2025-04-01,2025,4,April,Yobe,North East,970.0
2025-05-01,2025,5,May,Yobe,North East,950.6
2025-06-01,2025,6,June,Yobe,North East,950.6
2025-07-01,2025,7,July,Yobe,North East,950.6
2025-08-01,2025,8,August,Yobe,North East,1014.86
2025-09-01,2025,9,September,Yobe,North East,988.94
2025-10-01,2025,10,October,Yobe,North East,1075.59
2025-11-01,2025,11,November,Yobe,North East,1085.37
2025-12-01,2025,12,December,Yobe,North East,1081.8
2026-01-01,2026,1,January,Yobe,North East,1050.77
2026-02-01,2026,2,February,Yobe,North East,1134.73
2026-03-01,2026,3,March,Yobe,North East,1362.05
2026-04-01,2026,4,April,Yobe,North East,1599.05
2024-11-01,2024,11,November,Zamfara,North West,1192.31
2024-12-01,2024,12,December,Zamfara,North West,1160.0
2025-01-01,2025,1,January,Zamfara,North West,1104.29
2025-02-01,2025,2,February,Zamfara,North West,1204.29
2025-03-01,2025,3,March,Zamfara,North West,1200.63
2025-04-01,2025,4,April,Zamfara,North West,1223.89
2025-05-01,2025,5,May,Zamfara,North West,1093.21
2025-06-01,2025,6,June,Zamfara,North West,1096.81
2025-07-01,2025,7,July,Zamfara,North West,884.63
2025-08-01,2025,8,August,Zamfara,North West,993.38
2025-09-01,2025,9,September,Zamfara,North West,967.49
2025-10-01,2025,10,October,Zamfara,North West,1054.68
2025-11-01,2025,11,November,Zamfara,North West,1067.0
2025-12-01,2025,12,December,Zamfara,North West,1059.11
2026-01-01,2026,1,January,Zamfara,North West,1046.57
2026-02-01,2026,2,February,Zamfara,North West,1038.01
2026-03-01,2026,3,March,Zamfara,North West,1301.31
2026-04-01,2026,4,April,Zamfara,North West,1564.25
