date,year,month,month_name,commodity,avg_price_ngn,mom_pct,yoy_pct,highest_state,highest_price,lowest_state,lowest_price
2025-02-01,2025,2,February,Bread Sliced 450g,1633.19,1.7698,,Ogun,1950.0,Osun,1256.25
2025-02-01,2025,2,February,Bread Unsliced 450g,1497.43,3.0588,,Akwa Ibom,1900.0,Yobe,900.0
2025-02-01,2025,2,February,Carrots Fresh,1838.59,2.8778,,Imo,2557.14,Zamfara,1410.0
2025-02-01,2025,2,February,Catfish Fresh,5284.36,1.0999,91.5748,Plateau,7608.1,Kaduna,3500.0
2025-02-01,2025,2,February,Chicken Feet,3346.62,1.609,44.6565,Ondo,4750.0,Taraba,2100.0
2025-02-01,2025,2,February,Chicken Meat Frozen,5552.7,1.0128,27.0414,Enugu,8000.0,Sokoto,4200.0
2025-02-01,2025,2,February,Chicken Wings,4394.41,1.2511,59.686,Niger,5598.22,Yobe,3009.25
2025-02-01,2025,2,February,Crayfish Small White,6440.44,3.427,,Kogi,8000.0,Bayelsa,4300.0
2025-02-01,2025,2,February,Dried Fish Bonga,6160.02,0.4573,,Enugu,9000.0,Adamawa,4000.0
2025-02-01,2025,2,February,Evaporated Milk Peak 150g,931.03,0.3268,46.3892,Enugu,1200.0,Bayelsa,782.14
2025-02-01,2025,2,February,Evaporated Milk Three Crown 160g,827.31,-1.1846,,Bayelsa,1057.14,Kogi,650.0
2025-02-01,2025,2,February,Garri White,1277.25,0.7583,76.5497,Kebbi,1693.78,Ogun,923.61
2025-02-01,2025,2,February,Garri Yellow,1378.15,1.4126,82.8849,Kebbi,1744.39,Ekiti,961.54
2025-02-01,2025,2,February,Ginger Fresh,4371.9,3.9245,,Rivers,5300.0,Katsina,2650.0
2025-02-01,2025,2,February,Goat Meat Bone-In,6298.89,1.5564,,Akwa Ibom,9500.0,Kogi,3800.0
2025-02-01,2025,2,February,Groundnut Oil 75cl,3039.83,3.4049,,Ogun,3900.0,Abuja,2250.0
2025-02-01,2025,2,February,Groundnuts Roasted 75cl,2392.47,0.1974,,Bayelsa,3148.21,Osun,1900.0
2025-02-01,2025,2,February,Irish Potato,1756.41,-1.9266,55.3477,Anambra,2782.21,Abuja,931.78
2025-02-01,2025,2,February,Mackerel Frozen,5233.15,2.2538,92.979,Plateau,8517.33,Oyo,3568.18
2025-02-01,2025,2,February,Maize White Grain,1169.32,0.0841,60.3014,Imo,1979.17,Yobe,687.5
2025-02-01,2025,2,February,Onions Fresh,1372.04,0.3232,49.8501,Cross River,2483.33,Taraba,560.0
2025-02-01,2025,2,February,Palm Oil 75cl,2384.15,2.3442,52.6874,Ogun,3000.0,Adamawa,1500.0
2025-02-01,2025,2,February,Plantain Ripe,1914.5,2.0508,126.1663,Abuja,2400.0,Gombe,1476.25
2025-02-01,2025,2,February,Plantain Unripe,2127.67,0.4059,147.694,Plateau,2886.64,Osun,1479.78
2025-02-01,2025,2,February,Rice Local Broken,2564.95,2.2645,,Ogun,4500.0,Yobe,1416.67
2025-02-01,2025,2,February,Rice Local Short-Grain,2088.82,1.007,70.7996,Plateau,2600.0,Oyo,1516.13
2025-02-01,2025,2,February,Rice Long-Grain Imported,2565.09,2.3793,65.5432,Plateau,3190.91,Oyo,1938.71
2025-02-01,2025,2,February,Semovita 1kg,2089.79,0.8587,,Rivers,2580.0,Lagos,1800.0
2025-02-01,2025,2,February,Smoked Fish Mackerel,5458.02,0.9318,,Kwara,8230.0,Kebbi,3401.7
2025-02-01,2025,2,February,Sweet Potatoes,823.3,-3.4271,22.3638,Taraba,1594.31,Adamawa,520.0
2025-02-01,2025,2,February,Tilapia Fresh,5103.94,0.7616,108.7278,Benue,8239.29,Yobe,3750.0
2025-02-01,2025,2,February,Titus Frozen,5564.29,1.7753,92.9985,Kwara,8343.26,Yobe,4200.0
2025-02-01,2025,2,February,Tomatoes Fresh,1111.14,2.7464,18.4775,Ebonyi,1787.31,Kebbi,624.32
2025-02-01,2025,2,February,Vegetable Oil 75cl,3090.51,3.8491,64.4928,Ekiti,4648.67,Adamawa,2200.0
2025-02-01,2025,2,February,Watermelon Fresh Medium,1926.2,4.0717,,Anambra,2795.0,Zamfara,1100.0
2025-02-01,2025,2,February,Wheat Flour 2kg,3890.8,1.129,70.8301,Imo,5616.67,Bauchi,2800.0
2025-02-01,2025,2,February,Yam Tuber,2022.03,1.5418,100.2893,Imo,2535.03,Ondo,1417.87
2025-03-01,2025,3,March,Agric Hen Eggs,261.18,3.6683,76.566,Enugu,354.75,Kaduna,210.0
2025-03-01,2025,3,March,Agric Hen Eggs (Crate of 30 Pieces),7670.56,28.3536,,Enugu,7930.0,Niger,5300.0
2025-03-01,2025,3,March,Beans Brown,2616.26,6.095,111.9458,Abia,3651.13,Sokoto,1634.36
2025-03-01,2025,3,March,Beans White,2215.11,4.7664,85.7975,Enugu,3122.19,Abuja,1521.57
2025-03-01,2025,3,March,Beef Boneless,6523.5,4.0521,51.3867,Imo,8569.93,Yobe,5250.0
2025-03-01,2025,3,March,Bread Sliced 450g,1680.17,2.8772,,Ogun,2187.92,Osun,1256.25
2025-03-01,2025,3,March,Bread Unsliced 450g,1561.24,4.2618,,Ebonyi,1908.56,Yobe,960.0
2025-03-01,2025,3,March,Carrots Fresh,1947.05,5.8989,,Imo,2980.7,Zamfara,1450.0
2025-03-01,2025,3,March,Catfish Fresh,5507.11,4.2153,80.9504,Plateau,8213.1,Zamfara,3590.0
2025-03-01,2025,3,March,Chicken Feet,3487.06,4.1963,42.8915,Ondo,4750.0,Kano,2281.25
2025-03-01,2025,3,March,Chicken Meat Frozen,5675.68,2.2147,24.3417,Enugu,8200.0,Sokoto,4500.0
2025-03-01,2025,3,March,Chicken Wings,4671.31,6.3014,56.1073,Ogun,6324.11,Yobe,3184.25
2025-03-01,2025,3,March,Crayfish Small White,6657.0,3.3625,,Kogi,8000.0,Bayelsa,4500.0
2025-03-01,2025,3,March,Dried Fish Bonga,6493.78,5.4182,,Ebonyi,10004.01,Osun,4420.0
2025-03-01,2025,3,March,Evaporated Milk Peak 150g,999.18,7.3193,49.1961,Enugu,1287.5,Osun,827.5
2025-03-01,2025,3,March,Evaporated Milk Three Crown 160g,872.14,5.4176,,Delta,1073.3,Kogi,701.0
2025-03-01,2025,3,March,Garri White,1362.96,6.7107,81.7539,Abuja,1901.33,Ondo,950.0
2025-03-01,2025,3,March,Garri Yellow,1456.65,5.6958,81.1729,Katsina,1903.28,Oyo,1152.77
2025-03-01,2025,3,March,Ginger Fresh,4600.23,5.2228,,Ebonyi,6079.7,Katsina,3044.38
2025-03-01,2025,3,March,Goat Meat Bone-In,6892.46,9.4234,,Akwa Ibom,10340.0,Kogi,3850.0
2025-03-01,2025,3,March,Groundnut Oil 75cl,3218.82,5.8881,,Ekiti,4209.71,Ebonyi,2394.41
2025-03-01,2025,3,March,Groundnuts Roasted 75cl,2487.68,3.9794,,Zamfara,3235.2,Kwara,2000.0
2025-03-01,2025,3,March,Irish Potato,1881.76,7.1367,50.0064,Anambra,3021.19,Abuja,1098.24
2025-03-01,2025,3,March,Mackerel Frozen,5482.63,4.7673,84.4691,Plateau,9965.28,Zamfara,3415.0
2025-03-01,2025,3,March,Maize White Grain,1278.76,9.3592,68.7335,Imo,2064.13,Kano,718.23
2025-03-01,2025,3,March,Onions Fresh,1434.85,4.5777,52.8279,Abia,2841.43,Taraba,600.0
2025-03-01,2025,3,March,Palm Oil 75cl,2511.77,5.3529,60.4043,Ekiti,3128.96,Taraba,1730.0
2025-03-01,2025,3,March,Plantain Ripe,2002.58,4.601,111.3882,Plateau,2696.63,Gombe,1538.75
2025-03-01,2025,3,March,Plantain Unripe,2214.57,4.084,137.3197,Plateau,2904.77,Oyo,1690.91
2025-03-01,2025,3,March,Rice Local Broken,2671.73,4.1629,,Ogun,4500.0,Jigawa,1523.0
2025-03-01,2025,3,March,Rice Local Short-Grain,2242.64,7.3638,67.2682,Enugu,2691.0,Oyo,1773.87
2025-03-01,2025,3,March,Rice Long-Grain Imported,2679.51,4.4604,63.9909,Plateau,3590.91,Oyo,2125.16
2025-03-01,2025,3,March,Semovita 1kg,2173.12,3.9872,,Rivers,2775.0,Lagos,1800.0
2025-03-01,2025,3,March,Smoked Fish Mackerel,5752.76,5.4001,,Kwara,8258.0,Kebbi,3645.99
2025-03-01,2025,3,March,Sweet Potatoes,909.88,10.517,31.9692,Taraba,1817.51,Adamawa,530.0
