commodity,target_date,as_of_date,month_sin,month_cos,lag1_mom_pct,lag2_mom_pct,lag3_mom_pct,lag12_mom_pct,fuel_mom_pct,fx_mom_pct,is_harvest_month,is_lean_month,is_import,n_history_months,source,target_mom_pct
Goat Meat Bone-In,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,3.4109456451183684,-0.4244453483614352,2.340447608906726,,,0.0,0,0,0,4,WB_RTFP,0.5908340718026706
Maize White Grain,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,3.3957237285849207,-3.377486680678421,2.476383198260912,,,0.0,0,1,0,4,WB_RTFP,2.016380235429227
Onions Fresh,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,1.6113283350324137,-2.671031863986706,1.6092667903146118,,,0.0,0,0,0,4,WB_RTFP,1.2818287649486892
Rice Long-Grain Imported,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,1.1127023095108157,-3.5285489249152313,0.8902671661897621,,,,0,0,1,4,WB_RTFP,1.334762142064072
Yam Tuber,2007-05-01,2007-04-01,0.49999999999999994,-0.8660254037844387,2.3023550212720734,-0.4953266065252371,4.414025041470659,,,0.0,0,1,0,4,WB_RTFP,1.1997119801875344
Agric Hen Eggs (Crate of 30 Pieces),2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,1.1254903426724194,3.1052334408410376,-0.5679755204763159,,,0.0,0,0,0,5,WB_RTFP,1.5498038546168935
Beans Brown,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,2.310840955523008,11.265223576619011,0.29009375909059276,,,0.0,0,1,0,5,WB_RTFP,7.418749382594103
Beef Boneless,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,0.4966154945111212,3.7011014617913007,-0.3861612322798247,,,0.0,0,0,0,5,WB_RTFP,0.9205177592420011
Garri White,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,1.8902643024422794,10.491613320584792,-5.461186662231066,,,0.0,0,0,0,5,WB_RTFP,5.604738390816211
Goat Meat Bone-In,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,0.5908340718026706,3.4109456451183684,-0.4244453483614352,,,0.0,0,0,0,5,WB_RTFP,1.2089578066471596
Maize White Grain,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,2.016380235429227,3.3957237285849207,-3.377486680678421,,,0.0,0,1,0,5,WB_RTFP,3.580574925424651
Onions Fresh,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,1.2818287649486892,1.6113283350324137,-2.671031863986706,,,0.0,0,0,0,5,WB_RTFP,2.113662106640235
Rice Long-Grain Imported,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,1.334762142064072,1.1127023095108157,-3.5285489249152313,,,,0,0,1,5,WB_RTFP,1.594988130951469
Yam Tuber,2007-06-01,2007-05-01,1.2246467991473532e-16,-1.0,1.1997119801875344,2.3023550212720734,-0.4953266065252371,,,0.0,0,0,0,5,WB_RTFP,0.6680789898199535
Agric Hen Eggs (Crate of 30 Pieces),2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,1.5498038546168935,1.1254903426724194,3.1052334408410376,,,0.0,0,0,0,6,WB_RTFP,-0.6089895381991894
Beans Brown,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,7.418749382594103,2.310840955523008,11.265223576619011,,,0.0,0,0,0,6,WB_RTFP,-6.026315866301147
Beef Boneless,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,0.9205177592420011,0.4966154945111212,3.7011014617913007,,,0.0,0,1,0,6,WB_RTFP,-2.184773770209447
Garri White,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,5.604738390816211,1.8902643024422794,10.491613320584792,,,0.0,0,0,0,6,WB_RTFP,-12.352160342497697
Goat Meat Bone-In,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,1.2089578066471596,0.5908340718026706,3.4109456451183684,,,0.0,0,1,0,6,WB_RTFP,-1.9772748533803508
Maize White Grain,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,3.580574925424651,2.016380235429227,3.3957237285849207,,,0.0,0,1,0,6,WB_RTFP,-2.0109886717905923
Onions Fresh,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,2.113662106640235,1.2818287649486892,1.6113283350324137,,,0.0,0,1,0,6,WB_RTFP,-0.6606360771151287
Rice Long-Grain Imported,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,1.594988130951469,1.334762142064072,1.1127023095108157,,,,0,0,1,6,WB_RTFP,-1.5391334413043856
Yam Tuber,2007-07-01,2007-06-01,-0.4999999999999997,-0.8660254037844388,0.6680789898199535,1.1997119801875344,2.3023550212720734,,,0.0,0,0,0,6,WB_RTFP,1.2986664137214943
Agric Hen Eggs (Crate of 30 Pieces),2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-0.6089895381991894,1.5498038546168935,1.1254903426724194,,,0.0,0,0,0,7,WB_RTFP,-0.32750440435654893
Beans Brown,2007-08-01,2007-07-01,-0.8660254037844384,-0.5000000000000004,-6.026315866301147,7.418749382594103,2.310840955523008,,,0.0,0,0,0,7,WB_RTFP,3.301370969495676
